"TestID","FlowID","StepIndex","Priority","Category","Subcategory","EntryPoint","MenuPath","ControlOrButton","ScenarioType","SetupProfile","Preconditions","ActionSteps","ExpectedUIResult","ExpectedGameplayResult","ExpectedFinanceOrStateChange","ExpectedPersistenceResult","ExpectedNotificationOrFeedback","ExpectedSuccessOrProgress","NegativeOrEdgeCondition","PassCriteria","DebugOnly"
"LSOL-0050","F7-11","1","P1","F7 Menu","Licensing System Toggle","F7","F7 > Difficulty Settings or New Save Setup","Licensing system","UI","PermitLocked","Difficulty settings are editable in New Save Setup or on an unlocked profile.","Toggle Licensing system on and off.","The checkbox state changes immediately.","Permit gating behavior follows the current setting in later network and hauling tests.","No immediate finance change.","Selected state persists with the saved difficulty metadata when applicable.","No immediate status message is required while toggling.","None.","","Pass if Licensing system toggles cleanly and the checkbox state matches the current rule.","No"
"LSOL-0051","F7-12","1","P1","F7 Menu","Corridor Restriction Toggle","F7","F7 > Difficulty Settings or New Save Setup","Corridor restriction","UI","PermitLocked","Difficulty settings are editable in New Save Setup or on an unlocked profile.","Toggle Corridor restriction on and off.","The checkbox state changes immediately.","Cross-district corridor gating follows the current setting in later territory and mission tests.","No immediate finance change.","Selected state persists with the saved difficulty metadata when applicable.","No immediate status message is required while toggling.","None.","","Pass if Corridor restriction toggles cleanly and the checkbox state matches the current rule.","No"
"LSOL-0052","F7-13","1","P1","F7 Menu","Reputation System Toggle","F7","F7 > Difficulty Settings or New Save Setup","Reputation system","UI","PermitLocked","Difficulty settings are editable in New Save Setup or on an unlocked profile.","Toggle Reputation system on and off.","The checkbox state changes immediately.","District reputation gates, bonuses, penalties, and notices follow the current setting in later tests.","No immediate finance change.","Selected state persists with the saved difficulty metadata when applicable.","No immediate status message is required while toggling.","None.","","Pass if Reputation system toggles cleanly and the checkbox state matches the current rule.","No"
"LSOL-0053","F7-14","1","P1","F7 Menu","Office Garage Limit Toggle","F7","F7 > Difficulty Settings or New Save Setup","Office garage limit","UI","OfficeOwner","Difficulty settings are editable in New Save Setup or on an unlocked profile.","Toggle Office garage limit on and off.","The checkbox state changes immediately.","Garage-capacity enforcement follows the current setting in later office garage tests.","No immediate finance change.","Selected state persists with the saved difficulty metadata when applicable.","No immediate status message is required while toggling.","None.","","Pass if Office garage limit toggles cleanly and the checkbox state matches the current rule.","No"
"LSOL-0054","F7-15","1","P1","F7 Menu","NPC Limit At Office Toggle","F7","F7 > Difficulty Settings or New Save Setup","NPC limit at office","UI","NpcCompany","Difficulty settings are editable in New Save Setup or on an unlocked profile.","Toggle NPC limit at office on and off and inspect the detail text.","The checkbox state changes immediately and the detail text reflects Construction Site Cabin gating.","Construction Site Cabin capacity either gates or does not gate NPC hiring according to the current setting.","No immediate finance change.","Selected state persists with the saved difficulty metadata when applicable.","No immediate status message is required while toggling.","None.","","Pass if NPC limit at office toggles cleanly and the detail text matches the current rule.","No"
"LSOL-0055","F7-16","1","P1","F7 Menu","NPC Route Limit Selector","F7","F7 > Difficulty Settings or New Save Setup","NPC route limit","UI","NpcCompany","Difficulty settings are editable in New Save Setup or on an unlocked profile.","Cycle NPC route limit left and right including 0 and a nonzero value.","The selector updates its displayed route-limit value.","NPC hiring availability follows the current route-limit value in later Hire NPC tests.","No immediate finance change.","Selected state persists with the saved difficulty metadata when applicable.","No immediate status message is required while cycling.","Route limit 0 should disable hiring new NPCs.","Pass if the selector cycles correctly and later gating follows the saved value.","No"
"LSOL-0056","OPT-01","1","P1","Options","Language Selector","F7","F7 > Options","Language","UI","FreshCareer","Mechanics are enabled and Options is reachable.","Open Options; cycle Language left and right; verify visible menu text changes.","Language caption updates and UI text switches to the selected language set, with English fallback behavior where noted.","No gameplay state change.","No finance change.","Selected language persists in save metadata and survives reload.","Language changed to {Language}.","None.","","Pass if language switching changes current UI text and survives save/load.","No"
"LSOL-0057","OPT-02","1","P1","Options","Speed Unit Selector","F7","F7 > Options","Speed unit","UI","FreshCareer","Options menu is open.","Cycle Speed unit between supported values.","Speed unit caption updates between metric and imperial display modes.","Displayed cruise-control and speed-related UI uses the selected unit mode.","No finance change.","Selected speed-unit preference persists in save metadata and survives reload.","Speed unit changed to {Unit}.","None.","","Pass if speed-unit display changes and persists.","No"
"LSOL-0058","OPT-03","1","P1","Options","Colorblind Mode Selector","F7","F7 > Options","Colorblind mode","UI","FreshCareer","Options menu is open.","Cycle Colorblind mode through all available values.","Colorblind mode caption updates through Off, Deuteranopia, Protanopia, and Tritanopia.","Accessible color palette updates for UI rendering.","No finance change.","Selected colorblind mode persists in save metadata and survives reload.","Colorblind mode changed to {Mode}.","None.","","Pass if the selected colorblind mode updates the UI palette and persists.","No"
"LSOL-0059","NOTIF-01","1","P1","Notifications","Office NPC Deliveries Toggle","F7","F7 > Notifications","Office NPC deliveries","Persistence","NpcCompany","A valid NPC contract exists and Notifications is reachable.","Open Notifications; toggle Office NPC deliveries off; run an NPC delivery; toggle the setting on; run another delivery; save and reload once.","Notifications page shows the single current toggle row and Back.","NPC delivery gameplay continues in both states.","No direct finance change from the toggle itself.","The toggle state persists after save/load.","When On, office delivery toasts appear; when Off, those hired-office delivery alerts are suppressed.","NPC success progress continues regardless of toast visibility.","","Pass if the Office NPC deliveries preference changes runtime feedback and persists across reload.","No"
"LSOL-0060","SAVE-05","1","P1","Save System","Save Slot Empty And Delete Rules","F7","F7 > Saving Options > Load save or Delete save","Load save; Delete save","UI","FreshCareer","Run once with no named saves and once with at least one named save, including the active one.","Open Load save with no named saves; verify empty state; create a save; open Delete save; arm deletion with one Enter; confirm with a second Enter; repeat once on the active slot.","Save Slots shows No saves found when empty and shows armed delete detail before final deletion.","Deleting a non-active slot removes that save; deleting the active slot falls back to Default autosave behavior.","No direct finance change.","Deleted slots disappear permanently; active-slot deletion changes the active save target back to the default slot.","No saves found.; Press Enter again to delete {SaveName}.; Deleted save {SaveName}.","Unlocked successes remain with whatever save is loaded next; they do not leak between slots.","","Pass if empty-state, double-confirm delete, and active-slot fallback all behave as implemented.","No"
"LSOL-0061","HOME-01","1","P1","Tablet","Core Home Tiles","F8","F8 > LSOL OS","Company; Budget; Analytics; Successes; Missions","UI","LateGameEmpire","Company hub is open on F8.","Open Company, Budget, Analytics, Successes, and Missions from Home; back out after each.","Each selected tile routes to the correct page and Back returns to LSOL OS.","No gameplay state changes from navigation alone.","No finance change.","None.","Tile routing and Back behavior remain stable.","None.","","Pass if the core information tiles each open the correct app and return cleanly.","No"
"LSOL-0062","HOME-02","1","P1","Tablet","Network Home Tiles","F8","F8 > LSOL OS","Industries; Construction; Permits; Stores; Stations","UI","LateGameEmpire","Company hub is open on F8.","Open Industries, Construction, Permits, Stores, and Stations from Home; back out after each.","Each tile routes to the matching Network subpage and Back returns to LSOL OS.","No gameplay state changes from navigation alone.","No finance change.","None.","Tile routing and Back behavior remain stable.","None.","","Pass if the listed network tiles each open the correct page and return cleanly.","No"
"LSOL-0063","HOME-03","1","P1","Tablet","Operations Home Tiles","F8","F8 > LSOL OS","Services; Dispatch; Market; Site or Sites; Warehouse; Footprint; District View; Depot / Yard; Close","UI","LateGameEmpire","Company hub is open on F8 and at least one site exists nearby for the dynamic Site tile.","Open Services, Dispatch, Market, Site or Sites, Warehouse, Footprint, District View, and Depot / Yard; verify Close exits the hub.","Each tile routes to the current destination; Site changes label according to nearest site presence; Close returns to gameplay.","No gameplay state changes from navigation alone.","No finance change.","None.","Tile routing and Close behavior remain stable.","None.","","Pass if the operational tiles and Close behave according to the current hub implementation.","No"
"LSOL-0064","BUDGET-01","1","P1","Budget App","Cash Summary","F8","F8 > Budget > Cash Summary","Cash Summary","UI","LateGameEmpire","Budget root is reachable and finance history exists.","Open Budget; select Cash Summary; inspect values; use Back.","Cash Summary page shows current balance, 24h net, 7d net, known bills, forecast end balance, cash posture, and Back.","No gameplay change.","No finance change.","None.","Budget subpage opens with current values and returns to Budget on Back.","None.","","Pass if Cash Summary renders current data and Back returns to the Budget root.","No"
"LSOL-0065","BUDGET-02","1","P1","Budget App","Expense Breakdown","F8","F8 > Budget > Expense Breakdown","Expense Breakdown","UI","LateGameEmpire","Budget root is reachable.","Open Expense Breakdown; inspect entries or empty state; use Back.","Expense Breakdown shows category totals or No tracked data when empty.","No gameplay change.","No finance change.","None.","Expense Breakdown opens and returns correctly.","None.","","Pass if Expense Breakdown renders current expense categories or the correct empty-state message.","No"
"LSOL-0066","BUDGET-03","1","P1","Budget App","Income Breakdown","F8","F8 > Budget > Income Breakdown","Income Breakdown","UI","LateGameEmpire","Budget root is reachable.","Open Income Breakdown; inspect entries or empty state; use Back.","Income Breakdown shows category totals or No tracked data when empty.","No gameplay change.","No finance change.","None.","Income Breakdown opens and returns correctly.","None.","","Pass if Income Breakdown renders current income categories or the correct empty-state message.","No"
"LSOL-0067","BUDGET-04","1","P1","Budget App","Upcoming Bills","F8","F8 > Budget > Upcoming Bills","Upcoming Bills","UI","LoanActive","Budget root is reachable and at least one bill source may exist.","Open Upcoming Bills on a profile with bills; repeat on a profile with none; use Back.","Upcoming Bills shows queued bills with due timing or No bills queued when empty.","No gameplay change.","No finance change.","None.","Bills page opens and returns correctly.","None.","","Pass if Upcoming Bills shows correct bill or empty-state content and Back returns to Budget.","No"
"LSOL-0068","BUDGET-05","1","P1","Budget App","Weekly Forecast","F8","F8 > Budget > Weekly Forecast","Weekly Forecast","UI","LoanActive","Budget root is reachable and finance history exists.","Open Weekly Forecast; inspect values and forecast posture; use Back.","Weekly Forecast shows current balance, estimated 7d income, known bills, projected balance, lowest expected cash, assumption text, and Back.","No gameplay change.","No finance change.","None.","Forecast page opens and returns correctly.","None.","","Pass if Weekly Forecast renders and describes the current projected cash posture.","No"
"LSOL-0069","BUDGET-06","1","P1","Budget App","Route Profitability","F8","F8 > Budget > Route Profitability","Route Profitability","UI","NpcCompany","Budget root is reachable; run once with NPC routes and once without.","Open Route Profitability on a profile with route history and on one with none; use Back.","Route Profitability shows route rows or No route history when empty.","No gameplay change.","No finance change.","None.","Route page opens and returns correctly.","NPC route profitability supports route-related planning but does not itself unlock anything.","","Pass if Route Profitability shows route metrics or the correct empty state and returns cleanly.","No"
"LSOL-0070","BUDGET-07","1","P1","Budget App","Inventory Value","F8","F8 > Budget > Inventory Value","Inventory Value","UI","LateGameEmpire","Budget root is reachable; run once with valued inventory and once with none.","Open Inventory Value; inspect top locations or commodities; repeat on an empty profile; use Back.","Inventory Value shows total inventory value and top-value lists or No inventory on hand when empty.","No gameplay change.","No finance change.","None.","Inventory page opens and returns correctly.","None.","","Pass if Inventory Value shows valued stock correctly or the correct empty-state message.","No"
"LSOL-0071","AN-01","1","P1","Analytics App","Profit Trend","F8","F8 > Analytics > Profit Trend","Timeframe","UI","LateGameEmpire","Analytics root is reachable and some balance history exists.","Open Profit Trend; change Timeframe left and right; inspect the chart and Back behavior.","Profit Trend shows the current timeframe selector, company balance summary, chart panel, and Back.","No gameplay change.","No finance change.","Selected graph timeframe persists through save/load.","Left/right updates the chart window without leaving the page.","None.","","Pass if Profit Trend renders and the timeframe selector changes the displayed history window.","No"
"LSOL-0072","AN-02","1","P1","Analytics App","Commodity Trend","F8","F8 > Analytics > Commodity Trend","Timeframe; Trend Resource; resource row","UI","LateGameEmpire","Analytics root is reachable and market prices are available.","Open Commodity Trend; change Timeframe; change Trend Resource with left or right; press Enter on a resource row to set the graph target; use Back.","Commodity Trend shows both selectors, a resource list with a TREND tag on the selected commodity, the chart panel, and Back.","No gameplay change.","No finance change.","Selected timeframe and selected trend commodity persist through save/load.","Selectors and resource rows update the graph target without leaving the page.","None.","","Pass if Commodity Trend can change both timeframe and graphed commodity by the current selector and row actions.","No"
"LSOL-0073","AN-03","1","P1","Analytics App","Site Utilization And Storage Fill","F8","F8 > Analytics > Site Utilization or Storage Fill","Timeframe; Site selector","UI","LateGameEmpire","Analytics root is reachable and at least one tracked site exists.","Open Site Utilization; change selectors; then open Storage Fill and change selectors; use Back on both.","Each page shows its current selectors, chart panel, current site summary, and Back; empty messages appear on profiles with no sites.","No gameplay change.","No finance change.","Selected site and timeframe persist through save/load.","Selectors update the graphed site without leaving the page.","None.","","Pass if both site-history pages render and respond to selector changes correctly.","No"
"LSOL-0074","AN-04","1","P1","Analytics App","District Influence And NPC Routes","F8","F8 > Analytics > District Influence or NPC Routes","Enter; Back","UI","LateGameEmpire","Analytics root is reachable; run once with district data and once with active NPC routes.","Open District Influence; inspect rows or empty state; open NPC Routes; inspect rows or empty state; use Back on both.","District Influence and NPC Route Performance open with their current comparison or metric panels and use their defined empty-state messages when data is missing.","No gameplay change.","No finance change.","None.","Analytics subpages open and return correctly.","None.","","Pass if both pages render the current data or the correct empty states and return cleanly.","No"
"LSOL-0075","NET-01","1","P1","Network App","Location Lists And Filters","F8","F8 > Company > Network > Industries, Construction Sites, Stores, Gas Stations, Warehouses","Filter selector; Enter; Back","UI","LateGameEmpire","Network root is reachable; some configured locations exist.","Open Industries and change Filter; repeat on Stores and Gas Stations; open Construction Sites and Warehouses; inspect empty-state behavior where applicable; use Back.","Each list page shows the correct title, subtitle, row set, and filter behavior where implemented; empty states appear when the filtered list is empty.","No gameplay change.","No finance change.","None.","List pages preserve current view state while open.","None.","","Pass if each location list page renders current rows and filter behavior without navigation or selection corruption.","No"
"LSOL-0076","NET-02","1","P1","Network App","Contractor Permits","F8","F8 > Company > Network > Contractor Permits > Contractor Permit","Filter; Purchase Permit; Cancel","Gameplay","PermitLocked","At least one permit-gated site exists.","Open Contractor Permits; change Filter; open a permit-gated site; inspect the confirm page; test Cancel; then purchase a permit on a separate run.","Permit list shows OPEN, PERMIT, or LOCKED state text; confirm page shows Purchase Permit and Cancel; fallback page appears if no site is selected.","Permit ownership changes only after a confirmed purchase.","Balance decreases by the permit price on purchase.","Permit ownership persists after save/load.","Permit purchase flow shows the current site and price and returns cleanly on Cancel.","Permit ownership can unblock later hauling and site access progress.","","Pass if permit listing, confirm, cancel, and purchase all behave according to the current Network flow.","No"
"LSOL-0077","NET-03","1","P1","Network App","Services Dispatch Diagnostics","F8","F8 > Company > Network > Services, Dispatch, Dispatch Diagnostics","Refuel Current Vehicle; Repair Current Vehicle; selectors; Premium Dispatch; Diagnostics filter","UI","LateGameEmpire","Network root is reachable; active vehicle and dispatch data may or may not exist.","Open Services and test both rows in valid contexts; open Dispatch and change Policy, Commodity, District, and Premium Dispatch; open Diagnostics and change its Filter; use Back throughout.","Services shows its two action rows; Dispatch shows headline, selectors, Premium Dispatch, Diagnostics, jobs or No ambient jobs queued; Diagnostics shows summary, Filter, rows or No recent failures or No diagnostics captured.","Service actions affect the current vehicle when valid; dispatch controls only change dispatch preferences and view state.","Service actions may consume resources or money according to their underlying systems; dispatch toggles may later influence premium fees.","Dispatch preferences and diagnostics filter state persist according to saved dispatch metadata where implemented.","Dispatch and diagnostics remain stable while changing selectors and filters.","Emergency Services progress can advance only when an actual service action succeeds.","","Pass if Services, Dispatch, and Dispatch Diagnostics all expose their current controls and states without UI breakage.","No"
"LSOL-0078","NET-04","1","P1","Network App","Market And Resources Price","F8","F8 > Company > Network > Market or Resources Price","Timeframe; Trend Resource; resource row","UI","LateGameEmpire","Network root is reachable and market data exists or can be empty.","Open Market; change Timeframe and Trend Resource; select a highlight row; open Resources Price; repeat selector changes and Enter on a resource row; use Back.","Market shows Market Highlights plus the current chart; Resources Price shows all known prices or No prices available.","No gameplay change.","No finance change.","Selected timeframe and trend commodity persist through save/load.","Selected resource gains the TREND tag and drives the bottom panel graph.","None.","","Pass if both market pages support current selector and row-driven graph targeting behavior.","No"
"LSOL-0079","MAP-01","1","P1","Company Map","Root And Metro Network","F8","F8 > Footprint or Company Map","Footprint; Metro Network; Back","UI","LateGameEmpire","Footprint or Company Map entry is reachable from Home.","Open Company Map; inspect root rows; open Metro Network; move district selection with arrow keys; press Back; then use Back from Company Map.","Company Map shows Balance, Footprint, Metro Network, District View, Depot / Yard, and Back; Metro Network draws the district graph and responds to arrow-key selection.","No gameplay change from viewing.","No finance change.","Company Map state reflects the saved territory snapshot after reload.","Back returns to the prior tablet page or company hub according to entry path.","Reputation-related success inspection is possible from map context but not changed by viewing alone.","","Pass if Company Map root and Metro Network open, navigate, and back out correctly.","No"
"LSOL-0080","MAP-02","1","P1","Company Map","District View And Detail","F8","F8 > Company Map > District View > District Detail","Enter; Back","UI","LateGameEmpire","District data exists.","Open District View; inspect district rows or empty state; open one district detail page; use Back.","District View shows district rows or No districts available; District Detail shows Influence, Network Coverage, Service & Support, local site rows, and Back.","No gameplay change from viewing.","No finance change.","District values shown match the saved territory state after reload.","Back returns from District Detail to District View and from District View to Company Map or hub according to entry path.","None.","","Pass if District View and District Detail render current territory data and back-navigation correctly.","No"
"LSOL-0081","MAP-03","1","P1","Company Map","Depot Yard Support Site Actions","F8","F8 > Company Map > Depot / Yard > Support Site","Lease Site; Buy Site; Assign Crew; Loaders; Mechanics; Guards; Managers","Gameplay","LateGameEmpire","At least one support site is configured; enough funds exist for one action.","Open Depot / Yard; inspect the empty state if applicable; open one support site detail; test Lease Site or Buy Site; test Assign Crew and one staffing row where valid.","Depot / Yard shows support-site rows or No support sites available; support-site detail shows status, lease or buy action, crew, staff rows, district bonus, and Back.","Support-site control, crew, or staffing state changes according to the confirmed action.","Balance changes by lease, buy, or staffing cost where applicable.","Support-site and staffing state persist after save/load.","Action-specific success or block messages appear according to current support-site rules.","Territory and founder-style progress can advance when support-site prerequisites are satisfied elsewhere.","","Pass if support-site detail actions behave according to the current depot-yard implementation.","No"
"LSOL-0082","IND-01","1","P1","Industry Tablet","Main Operations","Industry Marker","F8 > Site or E > Industry","Load Product; Unload Cargo; Refuel; Statistics; Vehicle Spawn; Buy Industry or Open Upgrades; Back","Gameplay","IndustryOwner","Player is in range of a current site and has a cargo vehicle for at least one run.","Open an industry tablet in range; inspect the main page rows; use Back once.","Industry app title changes by site type and the main page shows current actions appropriate to the site type and purchase state.","No action occurs until a row is confirmed.","No finance change from inspection alone.","None.","Signal-loss and site-type messaging remain correct.","None.","","Pass if the main Industry page reflects the current site type, ownership state, and available actions.","No"
"LSOL-0083","IND-02","1","P1","Industry Tablet","Load Unload Stats Upgrades Purchase","Industry Marker","Industry > Load Selection; Unload Mode; Statistics; Industry Upgrades; Buy Industry","Enter; Back","Gameplay","IndustryOwner","Run once on a purchased production site, once on a purchasable site, and once on a warehouse if available.","Open Load Selection and choose a commodity when multiple products exist; open Unload Mode and test both current choices; open Statistics; open Industry Upgrades; open Buy Industry or Buy Warehouse when purchase is still required; trigger Signal unavailable by leaving range on a separate run.","Load Selection shows compatible products or No compatible product; Unload Mode shows Unload Truck Cargo and Unload Omega Only where supported; Statistics shows the legacy scrollable stats panel; Industry Upgrades shows available modules or an unavailable message; Buy Industry shows Purchase Industry and Cancel; leaving range shows Site / Signal unavailable / Industry Signal Lost.","Load and unload actions move cargo when valid; upgrades and purchase only execute when confirmed.","Balance changes only on confirmed upgrades or site purchase.","Site purchase, upgrades, stock, and other industry state persist after save/load.","Action and error messages match the chosen action or signal-loss state.","Industry ownership and cargo-related success progress can advance from real gameplay actions.","","Pass if each current industry subpage opens and behaves according to site type, range, and purchase state.","No"
"LSOL-0084","OFF-01","1","P1","Properties","Office Lifecycle And Worker Model","Office Marker","Office Menu","Rent Office; Purchase Office; Activate Office; Settle Office Arrears; Worker Model","Gameplay","OfficeOwner","One office is available to rent or buy and one arrears state can be produced on a prepared save.","Open office menus in available, active, and arrears states; test rent or purchase; activate an accessible office; settle arrears on an overdue office; on an active office, cycle Worker Model and apply it on foot.","Office menu shows Balance, the office identity row, and state-appropriate action rows; Worker Model appears only on an active, usable office.","Office access, active-office state, arrears state, and worker appearance update according to valid actions.","Balance changes by rent, purchase, or arrears amount.","Office state persists after save/load; worker-model selection is runtime rather than a business asset.","Rented {Office}.; Purchased {Office}.; Activated {Office}. Commercial garage capacity is now {N}.; Settled office rent for {Office}.; Worker switched to {WorkerName}.","First Office, Company Footprint, or Empire progress can advance from office access or ownership.","Changing worker model while in a vehicle must be blocked.","Pass if office-state actions and worker-model application follow the current menu and blocking rules.","No"
"LSOL-0085","OFF-02","1","P1","Properties","Garage And NPC Entry","Office Marker","Office > Garage or Hire NPC","Garage; Hire NPC","Gameplay","OfficeOwner","An active office exists and may have zero or more commercial vehicles and NPC contracts.","Open Garage and inspect empty or populated state; open Hire NPC and inspect root rows or blocker text; return to Office.","Garage shows Active and Reserve summary or No active commercial vehicles; Hire NPC shows Hire New NPC, Manage NPC List, and Close, or current disabled detail when route limit is 0.","No state changes occur from inspection alone.","No finance change.","None.","Current NPC hiring detail reflects route-limit or capacity blockers accurately.","None.","","Pass if both office-entry pages open with the correct current state and can return to the Office menu.","No"
"LSOL-0086","OFF-03","1","P1","Properties","Commercial Garage Actions","Office Marker","Office > Garage > Vehicle","Retrieve Vehicle; Put In Storage; Move To Reserve; Sell Vehicle; End Rent","Gameplay","FleetOwner","An active office exists with at least one owned vehicle and one rented vehicle.","Open Garage; retrieve a stored vehicle; store it again; move one active vehicle to reserve; sell one owned vehicle; end one rental contract.","Commercial Garage and Vehicle action pages show the correct current action rows for the selected asset state.","Vehicle deployment, storage, reserve assignment, sale, and rental closure occur only for valid assets.","Balance changes by sale refund, rental refund, or prior rental billing, as implemented.","Garage roster and owned or rented state persist after save/load.","Retrieved {Vehicle}.; Stored {Vehicle}.; Sold {Vehicle} for {Amount}.; Ended rental for {Vehicle}. Refunded {Amount}.","Fleet Owner, Full Garage, or Company Fleet progress can advance from fleet changes.","NPC-assigned assets are locked from manual control and must not expose these actions.","Pass if commercial garage actions match the current asset state and leave a consistent roster.","No"
"LSOL-0087","OFF-04","1","P1","Properties","Office Objects And Services","Office Marker","Office > Objects and Office service rows","Purchase for {Price}; Enter; Request Diesel Delivery; Refuel Vehicle; Unload Fuel Cargo; Repair Vehicle","Gameplay","OfficeOwner","An active office exists; one run should have no placed modules and another should have a Diesel Tank or Maintenance Bay placed.","Open Objects; inspect catalog or empty state; purchase one object; place it or cancel placement; if a Diesel Tank is placed, use Request Diesel Delivery, Refuel Vehicle, and Unload Fuel Cargo; if a Maintenance Bay is placed, use Repair Vehicle.","Office Objects shows the catalog with Module or Decor captions or No office objects configured; Confirm Purchase shows Purchase for {Price} or Purchase blocked; service rows show current office-tank or maintenance detail.","Purchased objects become pending placement or placed modules; service actions refuel, unload fuel cargo, dispatch refinery delivery, or repair the active office vehicle when valid.","Balance changes by object purchase or diesel delivery cost where applicable.","Placed office objects, tank state, and delivered services persist after save/load where the underlying systems persist them.","Purchased {Object} for {Price}.; Placed {Object}.; Diesel delivery dispatched from {Refinery}.; Refueled {Liters}L from the office diesel tank.; Unloaded {Liters}L of diesel into the office tank.; Maintenance Bay repaired the truck or truck and trailer.","Emergency Services progress can advance when valid service actions succeed.","Blocked purchase or service states must not consume money or remove the pending object.","Pass if office-object purchase, placement, and office-service actions match the current implementation and blocking rules.","No"
"LSOL-0088","APT-01","1","P1","Properties","Apartment Personal Systems","Apartment Marker","Apartment Menu; Personal Garage; Vehicle Dealership","Purchase Apartment; Activate Apartment; Enter Apartment; Personal Garage; Purchase row","Gameplay","ApartmentOwner","One apartment is purchasable and later active; personal vehicle catalog is loaded.","Purchase and activate an apartment on one run; enter and exit it; open Personal Garage; retrieve and store one owned personal vehicle; open Vehicle Dealership and buy one personal vehicle on a valid active-apartment profile.","Apartment menu shows Balance, Purchase Apartment, Activate Apartment, Settle Apartment Arrears, Enter Apartment, and Personal Garage according to state; Personal Garage shows owned vehicles or No personal vehicles owned; Vehicle Dealership shows balance and personal vehicle rows or a catalog error.","Apartment access, entering or exiting, personal vehicle retrieval, storage, and purchase all work according to current apartment rules.","Balance changes by apartment purchase and personal vehicle purchase.","Apartment ownership, active-apartment state, and personal vehicle records persist after save/load.","Purchased {Apartment} for {Amount}.; Activated {Apartment}.; Entered {Apartment}.; Exited {Apartment}.; Retrieved {Vehicle}.; Stored {Vehicle}.; Purchased {Vehicle} for {Amount}.","Home Base progress can advance from apartment access.","Buying a personal vehicle without an active apartment must be blocked by current apartment-system gating.","Pass if apartment lifecycle, interior enter or exit, personal garage, and personal dealership behaviors match the current implementation.","No"
"LSOL-0089","DEAL-01","1","P1","Vehicles","Commercial Dealership Acquisition Modes","Commercial Dealership Marker","Commercial Dealership > Vehicle & Cargo Type","Acquisition; Cargo / Trailer; Truck; Purchase Vehicle; Rent Vehicle","Gameplay","FleetOwner","An active office exists and at least one purchasable or rentable commercial selection is available.","Open the commercial dealership; change Acquisition between Purchase and Rent; change Cargo / Trailer and Truck selections; confirm one purchase on one run and one rental on another; try an invalid selection with no compatible asset.","Vehicle & Cargo Type shows dealership-specific acquisition detail, cargo or trailer selection, truck selection, and Purchase Vehicle or Rent Vehicle action captions according to current mode.","Valid selections add owned or rented vehicles to the company garage; invalid selections do nothing.","Balance decreases by purchase price or rental upfront deposit; no balance change occurs on invalid selection.","Owned and rented vehicles persist according to their saved fleet records after save/load.","Purchase and rental success messages appear for valid selections; invalid selection shows current dealership validation such as Select a truck and or trailer first or Selected truck is not a valid tractor unit.","Fleet Owner and related fleet progress can advance from valid acquisitions.","Rental must be blocked when the current selection has no positive daily rent.","Pass if purchase mode, rent mode, selection detail, and invalid-selection handling all match the current dealership implementation.","No"
"LSOL-0090","BANK-01","1","P1","Banking","Offer Selectors And Active Summary","Bank Marker","Bank > Weekly company financing offer or Active company loan","Loan amount; Repayment term; Close","UI","LoanActive","Run once without an active loan and once with an active loan.","Open a bank with no active loan; cycle Loan amount and Repayment term; inspect all preview rows; then open any bank with an active loan and inspect the summary and Close detail.","Without a loan, the bank page shows Current offer rate, Maximum available, Company balance, Loan amount, Repayment term, Preview principal, Preview locked rate, Preview total, Preview installment, Preview term, Confirm loan, and Close; with a loan, it shows Origin bank, Original principal, Locked interest rate, Total repayment, Remaining balance, Weekly installment, Weeks remaining, Next due week, and Close.","No gameplay change occurs from inspection alone.","No finance change from inspection alone.","Active-loan or offer-state rendering persists after save/load.","The Close detail reflects Return to the world marker on the offer page and the one-active-loan rule on the active summary page.","None.","","Pass if both the offer page and active-loan summary page match the current bank UI exactly.","No"
"LSOL-0091","MSN-01","1","P1","Special Missions","Mission Board And Detail States","F8","F8 > Missions > Mission Detail","Enter; Accept Mission; Cancel Mission; Back","UI","MissionReady","Mission packs are loaded; run once with available listings and once with none if possible.","Open Missions on a profile with packs loaded and on one with no packs; inspect the board, badges, warnings, and detail pages; inspect active, locked, cooldown, or done states where available.","The board shows No mission packs loaded when empty, and otherwise shows mission rows with badges such as LIVE, LOCKED, DONE, COOLDOWN, or xN, plus Mission Pack Warnings when relevant; detail page shows Availability, Description, Completion, and the current action row.","No gameplay change occurs from inspection alone unless Accept or Cancel is selected.","No finance change from inspection alone.","Mission-board state reflects the saved mission catalog and completion history after reload.","Availability detail and badge state match the current listing state.","Special mission progress only changes on real completions, not on inspection.","","Pass if mission board, badges, detail rows, and empty states match the current implementation.","No"
"LSOL-0092","PERSIST-01","1","P1","Persistence","Complex World State Restore","F7","F7 > Saving Options","Save game; Load save","Persistence","LateGameEmpire","A named save contains office, apartment, fleet, loan, NPC, site ownership, mission, success, analytics, and notification state.","Save the active named game; intentionally change world state; reload the saved slot; inspect key systems.","F7 load flow completes normally and major systems reopen with their saved state.","The saved snapshot restores complex business and world progression cleanly.","Balance, fleet, loan, mission, route, staffing, and site values revert to the saved snapshot rather than the post-save changes.","Named save restores property, finance, NPC, mission, analytics, bank, and success metadata together.","Saved {SaveName}.; Loaded save {SaveName}.","Unlocked successes remain unlocked and in-progress successes revert to the saved progress values.","","Pass if the late-game save restores every populated subsystem without duplication, omission, or cross-slot leakage.","No"
